region_code,reporting_year,reporting_pop,grouping_type
OHI,1977,818769536,WB
OHI,1978,825478144,WB
OHI,1979,832586112,WB
OHI,1980,839505344,WB
OHI,1981,846429120,WB
OHI,1982,852927808,WB
OHI,1983,858974208,WB
OHI,1984,864676032,WB
OHI,1985,870433536,WB
OHI,1986,876383744,WB
OHI,1987,882428672,WB
OHI,1988,888686016,WB
OHI,1989,895525184,WB
OHI,1990,902855424,WB
OHI,1991,910994304,WB
OHI,1992,918966080,WB
OHI,1993,926487104,WB
OHI,1994,933485568,WB
OHI,1995,940281664,WB
OHI,1996,947239552,WB
OHI,1997,954013184,WB
OHI,1998,960625408,WB
OHI,1999,967202688,WB
OHI,2000,974155648,WB
OHI,2001,981247104,WB
OHI,2002,988381696,WB
OHI,2003,995407872,WB
OHI,2004,1002816576,WB
OHI,2005,1010403904,WB
OHI,2006,1018652096,WB
OHI,2007,1027282624,WB
OHI,2008,1036427648,WB
OHI,2009,1044532288,WB
OHI,2010,1051961600,WB
OHI,2011,1057111680,WB
OHI,2012,1063606336,WB
OHI,2013,1070137280,WB
OHI,2014,1076837248,WB
OHI,2015,1083354880,WB
OHI,2016,1089854208,WB
OHI,2017,1095553408,WB
OHI,2018,1100812544,WB
OHI,2019,1105265152,WB
OHI,2020,1109101952,WB
SAS,1977,838819904,WB
SAS,1978,858901760,WB
SAS,1979,879510848,WB
SAS,1980,900620608,WB
SAS,1981,922226624,WB
SAS,1982,944315200,WB
SAS,1983,966836480,WB
SAS,1984,989728256,WB
SAS,1985,1012942272,WB
SAS,1986,1036437888,WB
SAS,1987,1060208512,WB
SAS,1988,1084281216,WB
SAS,1989,1108702336,WB
SAS,1990,1133495168,WB
SAS,1991,1158655616,WB
SAS,1992,1184133376,WB
SAS,1993,1209847808,WB
SAS,1994,1235693824,WB
SAS,1995,1261587840,WB
SAS,1996,1287476224,WB
SAS,1997,1313346432,WB
SAS,1998,1339202688,WB
SAS,1999,1365067904,WB
SAS,2000,1390946048,WB
SAS,2001,1416823040,WB
SAS,2002,1442644096,WB
SAS,2003,1468324480,WB
SAS,2004,1493757824,WB
SAS,2005,1518861568,WB
SAS,2006,1543610624,WB
SAS,2007,1568003200,WB
SAS,2008,1592010752,WB
SAS,2009,1615610240,WB
SAS,2010,1638792960,WB
SAS,2011,1661532160,WB
SAS,2012,1683740416,WB
SAS,2013,1705761536,WB
SAS,2014,1727632000,WB
SAS,2015,1749417088,WB
SAS,2016,1771187456,WB
SAS,2017,1792883200,WB
SAS,2018,1814455040,WB
SAS,2019,1835776768,WB
SAS,2020,1856882432,WB
SSA,1977,351808768,WB
SSA,1978,361939456,WB
SSA,1979,372404224,WB
SSA,1980,383188224,WB
SSA,1981,394281984,WB
SSA,1982,405688896,WB
SSA,1983,417425728,WB
SSA,1984,429521920,WB
SSA,1985,441988000,WB
SSA,1986,454835680,WB
SSA,1987,468053088,WB
SSA,1988,481594336,WB
SSA,1989,495407424,WB
SSA,1990,509451872,WB
SSA,1991,523726976,WB
SSA,1992,538246464,WB
SSA,1993,553020416,WB
SSA,1994,568072064,WB
SSA,1995,583413312,WB
SSA,1996,599067776,WB
SSA,1997,615054336,WB
SSA,1998,631400704,WB
SSA,1999,648148352,WB
SSA,2000,665327616,WB
SSA,2001,682956032,WB
SSA,2002,701066176,WB
SSA,2003,719716160,WB
SSA,2004,738983232,WB
SSA,2005,758924672,WB
SSA,2006,779566848,WB
SSA,2007,800908544,WB
SSA,2008,822945472,WB
SSA,2009,845655232,WB
SSA,2010,869025088,WB
SSA,2011,893045888,WB
SSA,2012,917725888,WB
SSA,2013,943039488,WB
SSA,2014,968958336,WB
SSA,2015,995458496,WB
SSA,2016,1022530240,WB
SSA,2017,1050162816,WB
SSA,2018,1078319488,WB
SSA,2019,1106957824,WB
SSA,2020,1136046720,WB
ECA,1977,412894272,WB
ECA,1978,416971392,WB
ECA,1979,420987872,WB
ECA,1980,425036896,WB
ECA,1981,429136800,WB
ECA,1982,433145440,WB
ECA,1983,437132992,WB
ECA,1984,441344544,WB
ECA,1985,445518016,WB
ECA,1986,449644128,WB
ECA,1987,453739648,WB
ECA,1988,457623392,WB
ECA,1989,460979456,WB
ECA,1990,463357728,WB
ECA,1991,465415552,WB
ECA,1992,467045120,WB
ECA,1993,468465504,WB
ECA,1994,469266432,WB
ECA,1995,469489280,WB
ECA,1996,469720640,WB
ECA,1997,469988704,WB
ECA,1998,470145696,WB
ECA,1999,470014016,WB
ECA,2000,469561280,WB
ECA,2001,468975360,WB
ECA,2002,468521760,WB
ECA,2003,468570208,WB
ECA,2004,468824800,WB
ECA,2005,469143712,WB
ECA,2006,469619680,WB
ECA,2007,470298784,WB
ECA,2008,471500064,WB
ECA,2009,473168384,WB
ECA,2010,474998848,WB
ECA,2011,477125696,WB
ECA,2012,479268416,WB
ECA,2013,481662528,WB
ECA,2014,484058208,WB
ECA,2015,486503296,WB
ECA,2016,488869600,WB
ECA,2017,491090272,WB
ECA,2018,493090016,WB
ECA,2019,494981152,WB
ECA,2020,496418464,WB
LAC,1977,333196480,WB
LAC,1978,340803008,WB
LAC,1979,348525568,WB
LAC,1980,356368160,WB
LAC,1981,364332384,WB
LAC,1982,372404640,WB
LAC,1983,380551680,WB
LAC,1984,388731424,WB
LAC,1985,396911488,WB
LAC,1986,405076480,WB
LAC,1987,413225088,WB
LAC,1988,421355776,WB
LAC,1989,429471872,WB
LAC,1990,437573280,WB
LAC,1991,445648736,WB
LAC,1992,453685824,WB
LAC,1993,461683264,WB
LAC,1994,469644224,WB
LAC,1995,477568672,WB
LAC,1996,485457184,WB
LAC,1997,493298592,WB
LAC,1998,501066880,WB
LAC,1999,508722112,WB
LAC,2000,516243200,WB
LAC,2001,523607392,WB
LAC,2002,530815616,WB
LAC,2003,537886720,WB
LAC,2004,544860544,WB
LAC,2005,551762624,WB
LAC,2006,558595456,WB
LAC,2007,565355776,WB
LAC,2008,572056192,WB
LAC,2009,578710656,WB
LAC,2010,585220544,WB
LAC,2011,591858880,WB
LAC,2012,598449984,WB
LAC,2013,604982464,WB
LAC,2014,611434496,WB
LAC,2015,617788480,WB
LAC,2016,624037952,WB
LAC,2017,630183552,WB
LAC,2018,636226560,WB
LAC,2019,642168192,WB
LAC,2020,648008896,WB
EAP,1977,1298438528,WB
EAP,1978,1319020544,WB
EAP,1979,1339910528,WB
EAP,1980,1360473728,WB
EAP,1981,1381770624,WB
EAP,1982,1405429504,WB
EAP,1983,1429222912,WB
EAP,1984,1451948800,WB
EAP,1985,1475390848,WB
EAP,1986,1500365440,WB
EAP,1987,1526833792,WB
EAP,1988,1553612032,WB
EAP,1989,1579733760,WB
EAP,1990,1605257984,WB
EAP,1991,1629703552,WB
EAP,1992,1652600704,WB
EAP,1993,1674652544,WB
EAP,1994,1696536704,WB
EAP,1995,1717975296,WB
EAP,1996,1739025536,WB
EAP,1997,1759829248,WB
EAP,1998,1779870464,WB
EAP,1999,1798724352,WB
EAP,2000,1816542720,WB
EAP,2001,1833510912,WB
EAP,2002,1849695744,WB
EAP,2003,1865220480,WB
EAP,2004,1880335872,WB
EAP,2005,1895361664,WB
EAP,2006,1909976704,WB
EAP,2007,1924102400,WB
EAP,2008,1938140416,WB
EAP,2009,1952099840,WB
EAP,2010,1966036224,WB
EAP,2011,1981022080,WB
EAP,2012,1997966976,WB
EAP,2013,2014861952,WB
EAP,2014,2031269120,WB
EAP,2015,2046913792,WB
EAP,2016,2062316672,WB
EAP,2017,2078055808,WB
EAP,2018,2091765760,WB
EAP,2019,2103791104,WB
EAP,2020,2113907200,WB
MNA,1977,153858960,WB
MNA,1978,158225040,WB
MNA,1979,162853264,WB
MNA,1980,167770752,WB
MNA,1981,174449664,WB
MNA,1982,179982880,WB
MNA,1983,185740480,WB
MNA,1984,191649680,WB
MNA,1985,197648976,WB
MNA,1986,203716048,WB
MNA,1987,209836944,WB
MNA,1988,215967264,WB
MNA,1989,222058400,WB
MNA,1990,228071184,WB
MNA,1991,233995168,WB
MNA,1992,239811952,WB
MNA,1993,245501424,WB
MNA,1994,251045696,WB
MNA,1995,256437600,WB
MNA,1996,261668256,WB
MNA,1997,266753920,WB
MNA,1998,271692544,WB
MNA,1999,276604928,WB
MNA,2000,281547584,WB
MNA,2001,286543968,WB
MNA,2002,291599200,WB
MNA,2003,296729824,WB
MNA,2004,301948256,WB
MNA,2005,307266752,WB
MNA,2006,312690176,WB
MNA,2007,318230528,WB
MNA,2008,323919712,WB
MNA,2009,329777152,WB
MNA,2010,335819264,WB
MNA,2011,342064160,WB
MNA,2012,348496448,WB
MNA,2013,355055200,WB
MNA,2014,361657088,WB
MNA,2015,368242912,WB
MNA,2016,374773248,WB
MNA,2017,381254368,WB
MNA,2018,387784640,WB
MNA,2019,394432064,WB
MNA,2020,401254464,WB
